2026-05-05 05:37:13,116 [INFO] filter_nq_unknown: Resuming from state: last_processed_index=10207, evaluated=10208, known=208, unknown=10000/50000
2026-05-05 05:37:13,812 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-05 05:37:16,814 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-05 05:37:16,816 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-05 05:37:18,608 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-05 05:37:19,603 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-05 05:37:19,742 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-05 05:37:21,073 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 10240 | Known 208 | Unknown 10032/50000 | Failure rate: 98.0% | 8101.7 items/s
Processed 10944 | Known 226 | Unknown 10718/50000 | Failure rate: 97.9% | 671.7 items/s
Processed 10976 | Known 226 | Unknown 10750/50000 | Failure rate: 97.9% | 643.7 items/s
Processed 11008 | Known 227 | Unknown 10781/50000 | Failure rate: 97.9% | 620.9 items/s
Processed 11040 | Known 228 | Unknown 10812/50000 | Failure rate: 97.9% | 599.1 items/s
Processed 11072 | Known 228 | Unknown 10844/50000 | Failure rate: 97.9% | 577.9 items/s
Processed 11104 | Known 228 | Unknown 10876/50000 | Failure rate: 97.9% | 557.5 items/s
Processed 11136 | Known 228 | Unknown 10908/50000 | Failure rate: 98.0% | 540.1 items/s
Processed 11168 | Known 229 | Unknown 10939/50000 | Failure rate: 97.9% | 524.4 items/s
Processed 11200 | Known 229 | Unknown 10971/50000 | Failure rate: 98.0% | 507.7 items/s
Processed 11232 | Known 229 | Unknown 11003/50000 | Failure rate: 98.0% | 492.0 items/s
Processed 11264 | Known 229 | Unknown 11035/50000 | Failure rate: 98.0% | 480.2 items/s
Processed 11296 | Known 229 | Unknown 11067/50000 | Failure rate: 98.0% | 467.7 items/s
Processed 11328 | Known 229 | Unknown 11099/50000 | Failure rate: 98.0% | 456.8 items/s
Processed 11360 | Known 230 | Unknown 11130/50000 | Failure rate: 98.0% | 445.5 items/s
Processed 11392 | Known 231 | Unknown 11161/50000 | Failure rate: 98.0% | 434.9 items/s
Processed 11424 | Known 233 | Unknown 11191/50000 | Failure rate: 98.0% | 428.2 items/s
Processed 11456 | Known 234 | Unknown 11222/50000 | Failure rate: 98.0% | 418.5 items/s
Processed 11488 | Known 235 | Unknown 11253/50000 | Failure rate: 98.0% | 409.9 items/s
Processed 11520 | Known 237 | Unknown 11283/50000 | Failure rate: 97.9% | 403.8 items/s
Processed 11552 | Known 238 | Unknown 11314/50000 | Failure rate: 97.9% | 395.3 items/s
Processed 11584 | Known 238 | Unknown 11346/50000 | Failure rate: 97.9% | 387.2 items/s
Processed 11616 | Known 239 | Unknown 11377/50000 | Failure rate: 97.9% | 379.5 items/s
Processed 11648 | Known 239 | Unknown 11409/50000 | Failure rate: 97.9% | 373.4 items/s
Processed 11680 | Known 240 | Unknown 11440/50000 | Failure rate: 97.9% | 366.7 items/s
Processed 11712 | Known 240 | Unknown 11472/50000 | Failure rate: 98.0% | 359.8 items/s
Processed 11744 | Known 241 | Unknown 11503/50000 | Failure rate: 97.9% | 353.2 items/s
Processed 11776 | Known 244 | Unknown 11532/50000 | Failure rate: 97.9% | 346.9 items/s
Processed 11808 | Known 246 | Unknown 11562/50000 | Failure rate: 97.9% | 340.9 items/s
Processed 11840 | Known 248 | Unknown 11592/50000 | Failure rate: 97.9% | 335.1 items/s
Processed 11872 | Known 248 | Unknown 11624/50000 | Failure rate: 97.9% | 330.2 items/s
Processed 11904 | Known 248 | Unknown 11656/50000 | Failure rate: 97.9% | 325.2 items/s
Processed 11936 | Known 248 | Unknown 11688/50000 | Failure rate: 97.9% | 320.1 items/s
Processed 11968 | Known 248 | Unknown 11720/50000 | Failure rate: 97.9% | 315.1 items/s
Processed 12000 | Known 248 | Unknown 11752/50000 | Failure rate: 97.9% | 311.1 items/s
Processed 12032 | Known 248 | Unknown 11784/50000 | Failure rate: 97.9% | 306.5 items/s
Processed 12064 | Known 249 | Unknown 11815/50000 | Failure rate: 97.9% | 303.1 items/s
Processed 12096 | Known 249 | Unknown 11847/50000 | Failure rate: 97.9% | 298.7 items/s
Processed 12128 | Known 249 | Unknown 11879/50000 | Failure rate: 97.9% | 294.5 items/s
Processed 12160 | Known 251 | Unknown 11909/50000 | Failure rate: 97.9% | 290.4 items/s
Processed 12192 | Known 252 | Unknown 11940/50000 | Failure rate: 97.9% | 286.4 items/s
Processed 12224 | Known 253 | Unknown 11971/50000 | Failure rate: 97.9% | 282.6 items/s
Processed 12256 | Known 254 | Unknown 12002/50000 | Failure rate: 97.9% | 278.9 items/s
Processed 12288 | Known 254 | Unknown 12034/50000 | Failure rate: 97.9% | 275.7 items/s
Processed 12320 | Known 254 | Unknown 12066/50000 | Failure rate: 97.9% | 272.2 items/s
Processed 12352 | Known 254 | Unknown 12098/50000 | Failure rate: 97.9% | 268.8 items/s
Processed 12384 | Known 255 | Unknown 12129/50000 | Failure rate: 97.9% | 266.4 items/s
Processed 12416 | Known 256 | Unknown 12160/50000 | Failure rate: 97.9% | 263.1 items/s
Processed 12448 | Known 256 | Unknown 12192/50000 | Failure rate: 97.9% | 260.0 items/s
Processed 12480 | Known 256 | Unknown 12224/50000 | Failure rate: 97.9% | 257.2 items/s
Processed 12512 | Known 256 | Unknown 12256/50000 | Failure rate: 98.0% | 254.2 items/s
Processed 12544 | Known 256 | Unknown 12288/50000 | Failure rate: 98.0% | 251.3 items/s
Processed 12576 | Known 259 | Unknown 12317/50000 | Failure rate: 97.9% | 248.5 items/s
Processed 12608 | Known 259 | Unknown 12349/50000 | Failure rate: 97.9% | 245.8 items/s
Processed 12640 | Known 261 | Unknown 12379/50000 | Failure rate: 97.9% | 243.1 items/s
Processed 12672 | Known 263 | Unknown 12409/50000 | Failure rate: 97.9% | 240.5 items/s
Processed 12704 | Known 264 | Unknown 12440/50000 | Failure rate: 97.9% | 237.9 items/s
Processed 12736 | Known 264 | Unknown 12472/50000 | Failure rate: 97.9% | 235.6 items/s
Processed 12768 | Known 266 | Unknown 12502/50000 | Failure rate: 97.9% | 233.3 items/s
Processed 12800 | Known 266 | Unknown 12534/50000 | Failure rate: 97.9% | 231.9 items/s
Processed 12832 | Known 267 | Unknown 12565/50000 | Failure rate: 97.9% | 229.9 items/s
Processed 12864 | Known 268 | Unknown 12596/50000 | Failure rate: 97.9% | 227.8 items/s
Processed 12896 | Known 269 | Unknown 12627/50000 | Failure rate: 97.9% | 225.7 items/s
Processed 12928 | Known 269 | Unknown 12659/50000 | Failure rate: 97.9% | 223.5 items/s
Processed 12960 | Known 270 | Unknown 12690/50000 | Failure rate: 97.9% | 221.4 items/s
Processed 12992 | Known 270 | Unknown 12722/50000 | Failure rate: 97.9% | 219.4 items/s
Processed 13024 | Known 271 | Unknown 12753/50000 | Failure rate: 97.9% | 217.6 items/s
Processed 13056 | Known 272 | Unknown 12784/50000 | Failure rate: 97.9% | 216.2 items/s
Processed 13088 | Known 272 | Unknown 12816/50000 | Failure rate: 97.9% | 214.3 items/s
Processed 13120 | Known 273 | Unknown 12847/50000 | Failure rate: 97.9% | 212.3 items/s
Processed 13152 | Known 273 | Unknown 12879/50000 | Failure rate: 97.9% | 210.5 items/s
Processed 13184 | Known 273 | Unknown 12911/50000 | Failure rate: 97.9% | 208.9 items/s
Processed 13216 | Known 274 | Unknown 12942/50000 | Failure rate: 97.9% | 207.0 items/s
Processed 13248 | Known 274 | Unknown 12974/50000 | Failure rate: 97.9% | 205.2 items/s
Processed 13280 | Known 275 | Unknown 13005/50000 | Failure rate: 97.9% | 203.4 items/s
Processed 13312 | Known 276 | Unknown 13036/50000 | Failure rate: 97.9% | 201.6 items/s
Processed 13344 | Known 277 | Unknown 13067/50000 | Failure rate: 97.9% | 199.9 items/s
Processed 13376 | Known 277 | Unknown 13099/50000 | Failure rate: 97.9% | 198.2 items/s
Processed 13408 | Known 277 | Unknown 13131/50000 | Failure rate: 97.9% | 196.5 items/s
Processed 13440 | Known 277 | Unknown 13163/50000 | Failure rate: 97.9% | 194.9 items/s
Processed 13472 | Known 278 | Unknown 13194/50000 | Failure rate: 97.9% | 193.7 items/s
Processed 13504 | Known 279 | Unknown 13225/50000 | Failure rate: 97.9% | 192.3 items/s
Processed 13536 | Known 279 | Unknown 13257/50000 | Failure rate: 97.9% | 190.8 items/s
Processed 13568 | Known 279 | Unknown 13289/50000 | Failure rate: 97.9% | 189.8 items/s
Processed 13600 | Known 279 | Unknown 13321/50000 | Failure rate: 97.9% | 188.6 items/s
Processed 13632 | Known 281 | Unknown 13351/50000 | Failure rate: 97.9% | 187.2 items/s
Processed 13664 | Known 282 | Unknown 13382/50000 | Failure rate: 97.9% | 185.8 items/s
Processed 13696 | Known 282 | Unknown 13414/50000 | Failure rate: 97.9% | 184.8 items/s
Processed 13728 | Known 283 | Unknown 13445/50000 | Failure rate: 97.9% | 183.6 items/s
Processed 13760 | Known 285 | Unknown 13475/50000 | Failure rate: 97.9% | 182.2 items/s
Processed 13792 | Known 285 | Unknown 13507/50000 | Failure rate: 97.9% | 181.0 items/s
Processed 13824 | Known 286 | Unknown 13538/50000 | Failure rate: 97.9% | 179.8 items/s
Processed 13856 | Known 287 | Unknown 13569/50000 | Failure rate: 97.9% | 178.5 items/s
Processed 13888 | Known 287 | Unknown 13601/50000 | Failure rate: 97.9% | 177.4 items/s
Processed 13920 | Known 290 | Unknown 13630/50000 | Failure rate: 97.9% | 176.2 items/s
Processed 13952 | Known 293 | Unknown 13659/50000 | Failure rate: 97.9% | 175.1 items/s
Processed 13984 | Known 293 | Unknown 13691/50000 | Failure rate: 97.9% | 174.0 items/s
Processed 14016 | Known 293 | Unknown 13723/50000 | Failure rate: 97.9% | 172.9 items/s
Processed 14048 | Known 294 | Unknown 13754/50000 | Failure rate: 97.9% | 171.9 items/s
Processed 14080 | Known 296 | Unknown 13784/50000 | Failure rate: 97.9% | 170.8 items/s
Processed 14112 | Known 297 | Unknown 13815/50000 | Failure rate: 97.9% | 169.9 items/s
Processed 14144 | Known 298 | Unknown 13846/50000 | Failure rate: 97.9% | 168.9 items/s
Processed 14176 | Known 299 | Unknown 13877/50000 | Failure rate: 97.9% | 167.8 items/s
Processed 14208 | Known 300 | Unknown 13908/50000 | Failure rate: 97.9% | 167.0 items/s
Processed 14240 | Known 301 | Unknown 13939/50000 | Failure rate: 97.9% | 166.0 items/s
Processed 14272 | Known 301 | Unknown 13971/50000 | Failure rate: 97.9% | 165.2 items/s
Processed 14304 | Known 302 | Unknown 14002/50000 | Failure rate: 97.9% | 164.5 items/s
Processed 14336 | Known 302 | Unknown 14034/50000 | Failure rate: 97.9% | 163.7 items/s
Processed 14368 | Known 302 | Unknown 14066/50000 | Failure rate: 97.9% | 162.8 items/s
Processed 14400 | Known 302 | Unknown 14098/50000 | Failure rate: 97.9% | 162.0 items/s
Processed 14432 | Known 303 | Unknown 14129/50000 | Failure rate: 97.9% | 161.1 items/s
Processed 14464 | Known 303 | Unknown 14161/50000 | Failure rate: 97.9% | 160.3 items/s
Processed 14496 | Known 303 | Unknown 14193/50000 | Failure rate: 97.9% | 159.7 items/s
Processed 14528 | Known 303 | Unknown 14225/50000 | Failure rate: 97.9% | 159.1 items/s
Processed 14560 | Known 304 | Unknown 14256/50000 | Failure rate: 97.9% | 158.3 items/s
Processed 14592 | Known 306 | Unknown 14286/50000 | Failure rate: 97.9% | 157.6 items/s
Processed 14624 | Known 306 | Unknown 14318/50000 | Failure rate: 97.9% | 157.1 items/s
Processed 14656 | Known 307 | Unknown 14349/50000 | Failure rate: 97.9% | 156.2 items/s
Processed 14688 | Known 308 | Unknown 14380/50000 | Failure rate: 97.9% | 155.7 items/s
Processed 14720 | Known 308 | Unknown 14412/50000 | Failure rate: 97.9% | 154.9 items/s
Processed 14752 | Known 308 | Unknown 14444/50000 | Failure rate: 97.9% | 154.1 items/s
Processed 14784 | Known 308 | Unknown 14476/50000 | Failure rate: 97.9% | 153.3 items/s
Processed 14816 | Known 309 | Unknown 14507/50000 | Failure rate: 97.9% | 152.5 items/s
Processed 14848 | Known 310 | Unknown 14538/50000 | Failure rate: 97.9% | 151.8 items/s
Processed 14880 | Known 311 | Unknown 14569/50000 | Failure rate: 97.9% | 151.1 items/s
Processed 14912 | Known 313 | Unknown 14599/50000 | Failure rate: 97.9% | 150.5 items/s
Processed 14944 | Known 315 | Unknown 14629/50000 | Failure rate: 97.9% | 150.0 items/s
Processed 14976 | Known 316 | Unknown 14660/50000 | Failure rate: 97.9% | 149.3 items/s
Processed 15008 | Known 316 | Unknown 14692/50000 | Failure rate: 97.9% | 148.6 items/s
Processed 15040 | Known 316 | Unknown 14724/50000 | Failure rate: 97.9% | 147.8 items/s
Processed 15072 | Known 316 | Unknown 14756/50000 | Failure rate: 97.9% | 147.4 items/s
Processed 15104 | Known 317 | Unknown 14787/50000 | Failure rate: 97.9% | 146.7 items/s
Processed 15136 | Known 318 | Unknown 14818/50000 | Failure rate: 97.9% | 146.0 items/s
Processed 15168 | Known 318 | Unknown 14850/50000 | Failure rate: 97.9% | 145.3 items/s
Processed 15200 | Known 320 | Unknown 14880/50000 | Failure rate: 97.9% | 144.7 items/s
Processed 15232 | Known 321 | Unknown 14911/50000 | Failure rate: 97.9% | 144.0 items/s
Processed 15264 | Known 321 | Unknown 14943/50000 | Failure rate: 97.9% | 143.4 items/s
Processed 15296 | Known 322 | Unknown 14974/50000 | Failure rate: 97.9% | 142.7 items/s
Processed 15328 | Known 322 | Unknown 15006/50000 | Failure rate: 97.9% | 142.1 items/s
Processed 15360 | Known 322 | Unknown 15038/50000 | Failure rate: 97.9% | 141.5 items/s
Processed 15392 | Known 323 | Unknown 15069/50000 | Failure rate: 97.9% | 140.9 items/s
Processed 15424 | Known 323 | Unknown 15101/50000 | Failure rate: 97.9% | 140.2 items/s
Processed 15456 | Known 324 | Unknown 15132/50000 | Failure rate: 97.9% | 139.6 items/s
Processed 15488 | Known 324 | Unknown 15164/50000 | Failure rate: 97.9% | 138.9 items/s
Processed 15520 | Known 325 | Unknown 15195/50000 | Failure rate: 97.9% | 138.3 items/s
Processed 15552 | Known 325 | Unknown 15227/50000 | Failure rate: 97.9% | 137.9 items/s
Processed 15584 | Known 326 | Unknown 15258/50000 | Failure rate: 97.9% | 137.3 items/s
Processed 15616 | Known 327 | Unknown 15289/50000 | Failure rate: 97.9% | 136.7 items/s
Processed 15648 | Known 327 | Unknown 15321/50000 | Failure rate: 97.9% | 136.1 items/s
Processed 15680 | Known 328 | Unknown 15352/50000 | Failure rate: 97.9% | 135.5 items/s
Processed 15712 | Known 328 | Unknown 15384/50000 | Failure rate: 97.9% | 134.9 items/s
Processed 15744 | Known 328 | Unknown 15416/50000 | Failure rate: 97.9% | 134.3 items/s
Processed 15776 | Known 328 | Unknown 15448/50000 | Failure rate: 97.9% | 133.7 items/s
Processed 15808 | Known 329 | Unknown 15479/50000 | Failure rate: 97.9% | 133.1 items/s
Processed 15840 | Known 330 | Unknown 15510/50000 | Failure rate: 97.9% | 132.5 items/s
Processed 15872 | Known 330 | Unknown 15542/50000 | Failure rate: 97.9% | 132.0 items/s
Processed 15904 | Known 331 | Unknown 15573/50000 | Failure rate: 97.9% | 131.5 items/s
Processed 15936 | Known 332 | Unknown 15604/50000 | Failure rate: 97.9% | 130.9 items/s
Processed 15968 | Known 332 | Unknown 15636/50000 | Failure rate: 97.9% | 130.4 items/s
Processed 16000 | Known 333 | Unknown 15667/50000 | Failure rate: 97.9% | 129.9 items/s
Processed 16032 | Known 333 | Unknown 15699/50000 | Failure rate: 97.9% | 129.4 items/s
Processed 16064 | Known 333 | Unknown 15731/50000 | Failure rate: 97.9% | 129.0 items/s
Processed 16096 | Known 335 | Unknown 15761/50000 | Failure rate: 97.9% | 128.5 items/s
Processed 16128 | Known 337 | Unknown 15791/50000 | Failure rate: 97.9% | 128.0 items/s
Processed 16160 | Known 337 | Unknown 15823/50000 | Failure rate: 97.9% | 127.5 items/s
Processed 16192 | Known 338 | Unknown 15854/50000 | Failure rate: 97.9% | 127.1 items/s
Processed 16224 | Known 338 | Unknown 15886/50000 | Failure rate: 97.9% | 126.6 items/s
Processed 16256 | Known 339 | Unknown 15917/50000 | Failure rate: 97.9% | 126.1 items/s
Processed 16288 | Known 340 | Unknown 15948/50000 | Failure rate: 97.9% | 125.6 items/s
Processed 16320 | Known 341 | Unknown 15979/50000 | Failure rate: 97.9% | 125.2 items/s
Processed 16352 | Known 341 | Unknown 16011/50000 | Failure rate: 97.9% | 124.7 items/s
Processed 16384 | Known 341 | Unknown 16043/50000 | Failure rate: 97.9% | 124.4 items/s
Processed 16416 | Known 341 | Unknown 16075/50000 | Failure rate: 97.9% | 123.9 items/s
Processed 16448 | Known 341 | Unknown 16107/50000 | Failure rate: 97.9% | 123.5 items/s
Processed 16480 | Known 341 | Unknown 16139/50000 | Failure rate: 97.9% | 123.1 items/s
Processed 16512 | Known 342 | Unknown 16170/50000 | Failure rate: 97.9% | 122.7 items/s
Processed 16544 | Known 344 | Unknown 16200/50000 | Failure rate: 97.9% | 122.3 items/s
Processed 16576 | Known 346 | Unknown 16230/50000 | Failure rate: 97.9% | 121.9 items/s
Processed 16608 | Known 348 | Unknown 16260/50000 | Failure rate: 97.9% | 121.5 items/s
Processed 16640 | Known 349 | Unknown 16291/50000 | Failure rate: 97.9% | 121.1 items/s
Processed 16672 | Known 351 | Unknown 16321/50000 | Failure rate: 97.9% | 120.7 items/s
Processed 16704 | Known 351 | Unknown 16353/50000 | Failure rate: 97.9% | 120.3 items/s
Processed 16736 | Known 352 | Unknown 16384/50000 | Failure rate: 97.9% | 119.8 items/s
Processed 16768 | Known 353 | Unknown 16415/50000 | Failure rate: 97.9% | 119.4 items/s
Processed 16800 | Known 353 | Unknown 16447/50000 | Failure rate: 97.9% | 119.1 items/s
Processed 16832 | Known 356 | Unknown 16476/50000 | Failure rate: 97.9% | 118.8 items/s
Processed 16864 | Known 358 | Unknown 16506/50000 | Failure rate: 97.9% | 118.4 items/s
Processed 16896 | Known 358 | Unknown 16538/50000 | Failure rate: 97.9% | 118.0 items/s
Processed 16928 | Known 358 | Unknown 16570/50000 | Failure rate: 97.9% | 117.8 items/s
Processed 16960 | Known 358 | Unknown 16602/50000 | Failure rate: 97.9% | 117.4 items/s
Processed 16992 | Known 359 | Unknown 16633/50000 | Failure rate: 97.9% | 117.1 items/s
Processed 17024 | Known 362 | Unknown 16662/50000 | Failure rate: 97.9% | 116.7 items/s
Processed 17056 | Known 363 | Unknown 16693/50000 | Failure rate: 97.9% | 116.3 items/s
Processed 17088 | Known 363 | Unknown 16725/50000 | Failure rate: 97.9% | 116.0 items/s
Processed 17120 | Known 365 | Unknown 16755/50000 | Failure rate: 97.9% | 115.7 items/s
Processed 17152 | Known 366 | Unknown 16786/50000 | Failure rate: 97.9% | 115.4 items/s
Processed 17184 | Known 366 | Unknown 16818/50000 | Failure rate: 97.9% | 115.1 items/s
Processed 17216 | Known 366 | Unknown 16850/50000 | Failure rate: 97.9% | 114.7 items/s
Processed 17248 | Known 367 | Unknown 16881/50000 | Failure rate: 97.9% | 114.4 items/s
Processed 17280 | Known 367 | Unknown 16913/50000 | Failure rate: 97.9% | 114.1 items/s
Processed 17312 | Known 368 | Unknown 16944/50000 | Failure rate: 97.9% | 113.8 items/s
Processed 17344 | Known 368 | Unknown 16976/50000 | Failure rate: 97.9% | 113.6 items/s
Processed 17376 | Known 370 | Unknown 17006/50000 | Failure rate: 97.9% | 113.3 items/s
Processed 17408 | Known 370 | Unknown 17038/50000 | Failure rate: 97.9% | 113.1 items/s
Processed 17440 | Known 370 | Unknown 17070/50000 | Failure rate: 97.9% | 112.8 items/s
Processed 17472 | Known 371 | Unknown 17101/50000 | Failure rate: 97.9% | 112.4 items/s
Processed 17504 | Known 371 | Unknown 17133/50000 | Failure rate: 97.9% | 112.2 items/s
Processed 17536 | Known 371 | Unknown 17165/50000 | Failure rate: 97.9% | 112.0 items/s
Processed 17568 | Known 371 | Unknown 17197/50000 | Failure rate: 97.9% | 111.7 items/s
Processed 17600 | Known 371 | Unknown 17229/50000 | Failure rate: 97.9% | 111.4 items/s
Processed 17632 | Known 371 | Unknown 17261/50000 | Failure rate: 97.9% | 111.1 items/s
Processed 17664 | Known 372 | Unknown 17292/50000 | Failure rate: 97.9% | 110.8 items/s
Processed 17696 | Known 372 | Unknown 17324/50000 | Failure rate: 97.9% | 110.6 items/s
Processed 17728 | Known 372 | Unknown 17356/50000 | Failure rate: 97.9% | 110.3 items/s
Processed 17760 | Known 372 | Unknown 17388/50000 | Failure rate: 97.9% | 110.0 items/s
Processed 17792 | Known 373 | Unknown 17419/50000 | Failure rate: 97.9% | 109.7 items/s
Processed 17824 | Known 373 | Unknown 17451/50000 | Failure rate: 97.9% | 109.5 items/s
Processed 17856 | Known 375 | Unknown 17481/50000 | Failure rate: 97.9% | 109.2 items/s
Processed 17888 | Known 375 | Unknown 17513/50000 | Failure rate: 97.9% | 109.0 items/s
Processed 17920 | Known 375 | Unknown 17545/50000 | Failure rate: 97.9% | 108.8 items/s
Processed 17952 | Known 375 | Unknown 17577/50000 | Failure rate: 97.9% | 108.5 items/s
Processed 17984 | Known 375 | Unknown 17609/50000 | Failure rate: 97.9% | 108.2 items/s
Processed 18016 | Known 376 | Unknown 17640/50000 | Failure rate: 97.9% | 107.9 items/s
Processed 18048 | Known 376 | Unknown 17672/50000 | Failure rate: 97.9% | 107.7 items/s
Processed 18080 | Known 376 | Unknown 17704/50000 | Failure rate: 97.9% | 107.4 items/s
Processed 18112 | Known 376 | Unknown 17736/50000 | Failure rate: 97.9% | 107.2 items/s
Processed 18144 | Known 377 | Unknown 17767/50000 | Failure rate: 97.9% | 106.9 items/s
Processed 18176 | Known 378 | Unknown 17798/50000 | Failure rate: 97.9% | 106.7 items/s
Processed 18208 | Known 379 | Unknown 17829/50000 | Failure rate: 97.9% | 106.4 items/s
Processed 18240 | Known 379 | Unknown 17861/50000 | Failure rate: 97.9% | 106.1 items/s
Processed 18272 | Known 380 | Unknown 17892/50000 | Failure rate: 97.9% | 105.9 items/s
Processed 18304 | Known 381 | Unknown 17923/50000 | Failure rate: 97.9% | 105.7 items/s
Processed 18336 | Known 381 | Unknown 17955/50000 | Failure rate: 97.9% | 105.4 items/s
Processed 18368 | Known 381 | Unknown 17987/50000 | Failure rate: 97.9% | 105.2 items/s
Processed 18400 | Known 381 | Unknown 18019/50000 | Failure rate: 97.9% | 105.0 items/s
Processed 18432 | Known 383 | Unknown 18049/50000 | Failure rate: 97.9% | 104.7 items/s
Processed 18464 | Known 384 | Unknown 18080/50000 | Failure rate: 97.9% | 104.5 items/s
Processed 18496 | Known 385 | Unknown 18111/50000 | Failure rate: 97.9% | 104.3 items/s
Processed 18528 | Known 386 | Unknown 18142/50000 | Failure rate: 97.9% | 104.0 items/s
Processed 18560 | Known 387 | Unknown 18173/50000 | Failure rate: 97.9% | 103.8 items/s
Processed 18592 | Known 387 | Unknown 18205/50000 | Failure rate: 97.9% | 103.6 items/s
Processed 18624 | Known 387 | Unknown 18237/50000 | Failure rate: 97.9% | 103.4 items/s
Processed 18656 | Known 388 | Unknown 18268/50000 | Failure rate: 97.9% | 103.2 items/s
Processed 18688 | Known 388 | Unknown 18300/50000 | Failure rate: 97.9% | 103.0 items/s
Processed 18720 | Known 390 | Unknown 18330/50000 | Failure rate: 97.9% | 102.8 items/s
Processed 18752 | Known 390 | Unknown 18362/50000 | Failure rate: 97.9% | 102.6 items/s
Processed 18784 | Known 391 | Unknown 18393/50000 | Failure rate: 97.9% | 102.3 items/s
Processed 18816 | Known 391 | Unknown 18425/50000 | Failure rate: 97.9% | 102.1 items/s
Processed 18848 | Known 392 | Unknown 18456/50000 | Failure rate: 97.9% | 101.9 items/s
