2026-05-04 08:33:07,024 [INFO] filter_nq_unknown: No existing state file at data/nq_open_filter_state.json; starting fresh.
2026-05-04 08:33:07,664 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-04 08:33:09,454 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-04 08:33:09,455 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-04 08:33:11,225 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-04 08:33:11,985 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-04 08:33:12,124 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-04 08:33:13,469 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 32 | Known 1 | Unknown 31/10000 | Failure rate: 96.9% | 27.2 items/s
Processed 2432 | Known 49 | Unknown 2383/10000 | Failure rate: 98.0% | 47.9 items/s
Processed 2464 | Known 50 | Unknown 2414/10000 | Failure rate: 98.0% | 47.8 items/s
Processed 2496 | Known 51 | Unknown 2445/10000 | Failure rate: 98.0% | 47.8 items/s
Processed 2528 | Known 52 | Unknown 2476/10000 | Failure rate: 97.9% | 47.8 items/s
Processed 2560 | Known 53 | Unknown 2507/10000 | Failure rate: 97.9% | 47.7 items/s
Processed 2592 | Known 54 | Unknown 2538/10000 | Failure rate: 97.9% | 47.7 items/s
Processed 2624 | Known 55 | Unknown 2569/10000 | Failure rate: 97.9% | 47.7 items/s
Processed 2656 | Known 55 | Unknown 2601/10000 | Failure rate: 97.9% | 47.6 items/s
Processed 2688 | Known 58 | Unknown 2630/10000 | Failure rate: 97.8% | 47.6 items/s
Processed 2720 | Known 60 | Unknown 2660/10000 | Failure rate: 97.8% | 47.6 items/s
Processed 2752 | Known 63 | Unknown 2689/10000 | Failure rate: 97.7% | 47.6 items/s
Processed 2784 | Known 65 | Unknown 2719/10000 | Failure rate: 97.7% | 47.7 items/s
Processed 2816 | Known 65 | Unknown 2751/10000 | Failure rate: 97.7% | 47.7 items/s
Processed 2848 | Known 67 | Unknown 2781/10000 | Failure rate: 97.6% | 47.7 items/s
Processed 2880 | Known 67 | Unknown 2813/10000 | Failure rate: 97.7% | 47.6 items/s
Processed 2912 | Known 69 | Unknown 2843/10000 | Failure rate: 97.6% | 47.6 items/s
Processed 2944 | Known 70 | Unknown 2874/10000 | Failure rate: 97.6% | 47.7 items/s
Processed 2976 | Known 73 | Unknown 2903/10000 | Failure rate: 97.5% | 47.6 items/s
Processed 3008 | Known 73 | Unknown 2935/10000 | Failure rate: 97.6% | 47.6 items/s
Processed 3040 | Known 73 | Unknown 2967/10000 | Failure rate: 97.6% | 47.5 items/s
Processed 3072 | Known 74 | Unknown 2998/10000 | Failure rate: 97.6% | 47.5 items/s
Processed 3104 | Known 74 | Unknown 3030/10000 | Failure rate: 97.6% | 47.4 items/s
Processed 3136 | Known 75 | Unknown 3061/10000 | Failure rate: 97.6% | 47.4 items/s
Processed 3168 | Known 75 | Unknown 3093/10000 | Failure rate: 97.6% | 47.4 items/s
Processed 3200 | Known 75 | Unknown 3125/10000 | Failure rate: 97.7% | 47.4 items/s
Processed 3232 | Known 77 | Unknown 3155/10000 | Failure rate: 97.6% | 47.3 items/s
Processed 3264 | Known 77 | Unknown 3187/10000 | Failure rate: 97.6% | 47.4 items/s
Processed 3296 | Known 77 | Unknown 3219/10000 | Failure rate: 97.7% | 47.4 items/s
Processed 3328 | Known 77 | Unknown 3251/10000 | Failure rate: 97.7% | 47.4 items/s
Processed 3360 | Known 78 | Unknown 3282/10000 | Failure rate: 97.7% | 47.3 items/s
Processed 3392 | Known 79 | Unknown 3313/10000 | Failure rate: 97.7% | 47.3 items/s
Processed 3424 | Known 80 | Unknown 3344/10000 | Failure rate: 97.7% | 47.4 items/s
Processed 3456 | Known 81 | Unknown 3375/10000 | Failure rate: 97.7% | 47.4 items/s
Processed 3488 | Known 82 | Unknown 3406/10000 | Failure rate: 97.6% | 47.4 items/s
Processed 3520 | Known 83 | Unknown 3437/10000 | Failure rate: 97.6% | 47.3 items/s
Processed 3552 | Known 83 | Unknown 3469/10000 | Failure rate: 97.7% | 47.3 items/s
Processed 3584 | Known 85 | Unknown 3499/10000 | Failure rate: 97.6% | 47.3 items/s
Processed 3616 | Known 85 | Unknown 3531/10000 | Failure rate: 97.6% | 47.2 items/s
Processed 3648 | Known 86 | Unknown 3562/10000 | Failure rate: 97.6% | 47.2 items/s
Processed 3680 | Known 86 | Unknown 3594/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3712 | Known 86 | Unknown 3626/10000 | Failure rate: 97.7% | 47.0 items/s
Processed 3744 | Known 87 | Unknown 3657/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3776 | Known 87 | Unknown 3689/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3808 | Known 87 | Unknown 3721/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3840 | Known 88 | Unknown 3752/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3872 | Known 88 | Unknown 3784/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3904 | Known 88 | Unknown 3816/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3936 | Known 89 | Unknown 3847/10000 | Failure rate: 97.7% | 47.1 items/s
Processed 3968 | Known 89 | Unknown 3879/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4000 | Known 89 | Unknown 3911/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4032 | Known 89 | Unknown 3943/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4064 | Known 89 | Unknown 3975/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4096 | Known 90 | Unknown 4006/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4128 | Known 91 | Unknown 4037/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4160 | Known 91 | Unknown 4069/10000 | Failure rate: 97.8% | 47.2 items/s
Processed 4192 | Known 92 | Unknown 4100/10000 | Failure rate: 97.8% | 47.1 items/s
Processed 4224 | Known 94 | Unknown 4130/10000 | Failure rate: 97.8% | 47.1 items/s
Processed 4256 | Known 95 | Unknown 4161/10000 | Failure rate: 97.8% | 47.0 items/s
Processed 4288 | Known 95 | Unknown 4193/10000 | Failure rate: 97.8% | 47.0 items/s
Processed 4320 | Known 95 | Unknown 4225/10000 | Failure rate: 97.8% | 47.0 items/s
Processed 4352 | Known 95 | Unknown 4257/10000 | Failure rate: 97.8% | 46.9 items/s
Processed 4384 | Known 96 | Unknown 4288/10000 | Failure rate: 97.8% | 46.9 items/s
Processed 4416 | Known 96 | Unknown 4320/10000 | Failure rate: 97.8% | 46.9 items/s
Processed 4448 | Known 97 | Unknown 4351/10000 | Failure rate: 97.8% | 46.9 items/s
Processed 4480 | Known 100 | Unknown 4380/10000 | Failure rate: 97.8% | 46.9 items/s
Processed 4512 | Known 103 | Unknown 4409/10000 | Failure rate: 97.7% | 46.8 items/s
Processed 4544 | Known 103 | Unknown 4441/10000 | Failure rate: 97.7% | 46.9 items/s
Processed 4576 | Known 104 | Unknown 4472/10000 | Failure rate: 97.7% | 46.8 items/s
Processed 4608 | Known 104 | Unknown 4504/10000 | Failure rate: 97.7% | 46.8 items/s
Processed 4640 | Known 104 | Unknown 4536/10000 | Failure rate: 97.8% | 46.8 items/s
Processed 4672 | Known 106 | Unknown 4566/10000 | Failure rate: 97.7% | 46.8 items/s
Processed 4704 | Known 107 | Unknown 4597/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4736 | Known 107 | Unknown 4629/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4768 | Known 109 | Unknown 4659/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4800 | Known 109 | Unknown 4691/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4832 | Known 112 | Unknown 4720/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4864 | Known 112 | Unknown 4752/10000 | Failure rate: 97.7% | 46.7 items/s
Processed 4896 | Known 113 | Unknown 4783/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 4928 | Known 114 | Unknown 4814/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 4960 | Known 114 | Unknown 4846/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 4992 | Known 114 | Unknown 4878/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 5024 | Known 114 | Unknown 4910/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 5056 | Known 115 | Unknown 4941/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 5088 | Known 115 | Unknown 4973/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 5120 | Known 116 | Unknown 5004/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5152 | Known 116 | Unknown 5036/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5184 | Known 119 | Unknown 5065/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5216 | Known 119 | Unknown 5097/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5248 | Known 119 | Unknown 5129/10000 | Failure rate: 97.7% | 46.6 items/s
Processed 5280 | Known 119 | Unknown 5161/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5312 | Known 119 | Unknown 5193/10000 | Failure rate: 97.8% | 46.5 items/s
Processed 5344 | Known 120 | Unknown 5224/10000 | Failure rate: 97.8% | 46.5 items/s
Processed 5376 | Known 121 | Unknown 5255/10000 | Failure rate: 97.7% | 46.5 items/s
Processed 5408 | Known 123 | Unknown 5285/10000 | Failure rate: 97.7% | 46.4 items/s
Processed 5440 | Known 123 | Unknown 5317/10000 | Failure rate: 97.7% | 46.4 items/s
Processed 5472 | Known 123 | Unknown 5349/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 5504 | Known 124 | Unknown 5380/10000 | Failure rate: 97.7% | 46.4 items/s
Processed 5536 | Known 125 | Unknown 5411/10000 | Failure rate: 97.7% | 46.4 items/s
Processed 5568 | Known 128 | Unknown 5440/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5600 | Known 128 | Unknown 5472/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5632 | Known 130 | Unknown 5502/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5664 | Known 130 | Unknown 5534/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5696 | Known 131 | Unknown 5565/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5728 | Known 131 | Unknown 5597/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5760 | Known 131 | Unknown 5629/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5792 | Known 132 | Unknown 5660/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5824 | Known 133 | Unknown 5691/10000 | Failure rate: 97.7% | 46.2 items/s
Processed 5856 | Known 133 | Unknown 5723/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5888 | Known 133 | Unknown 5755/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5920 | Known 133 | Unknown 5787/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 5952 | Known 134 | Unknown 5818/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 5984 | Known 135 | Unknown 5849/10000 | Failure rate: 97.7% | 46.2 items/s
Processed 6016 | Known 136 | Unknown 5880/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6048 | Known 136 | Unknown 5912/10000 | Failure rate: 97.8% | 46.2 items/s
Processed 6080 | Known 137 | Unknown 5943/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6112 | Known 138 | Unknown 5974/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6144 | Known 140 | Unknown 6004/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6176 | Known 141 | Unknown 6035/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6208 | Known 141 | Unknown 6067/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6240 | Known 141 | Unknown 6099/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6272 | Known 141 | Unknown 6131/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6304 | Known 141 | Unknown 6163/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6336 | Known 141 | Unknown 6195/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6368 | Known 142 | Unknown 6226/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6400 | Known 143 | Unknown 6257/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6432 | Known 143 | Unknown 6289/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6464 | Known 143 | Unknown 6321/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6496 | Known 145 | Unknown 6351/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6528 | Known 147 | Unknown 6381/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6560 | Known 147 | Unknown 6413/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6592 | Known 147 | Unknown 6445/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6624 | Known 148 | Unknown 6476/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6656 | Known 150 | Unknown 6506/10000 | Failure rate: 97.7% | 46.3 items/s
Processed 6688 | Known 150 | Unknown 6538/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6720 | Known 150 | Unknown 6570/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 6752 | Known 151 | Unknown 6601/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 6784 | Known 151 | Unknown 6633/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6816 | Known 152 | Unknown 6664/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6848 | Known 153 | Unknown 6695/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6880 | Known 154 | Unknown 6726/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6912 | Known 155 | Unknown 6757/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6944 | Known 155 | Unknown 6789/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 6976 | Known 155 | Unknown 6821/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7008 | Known 155 | Unknown 6853/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7040 | Known 156 | Unknown 6884/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7072 | Known 157 | Unknown 6915/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7104 | Known 158 | Unknown 6946/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7136 | Known 159 | Unknown 6977/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7168 | Known 160 | Unknown 7008/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 7200 | Known 160 | Unknown 7040/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 7232 | Known 160 | Unknown 7072/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 7264 | Known 160 | Unknown 7104/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7296 | Known 160 | Unknown 7136/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7328 | Known 160 | Unknown 7168/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7360 | Known 161 | Unknown 7199/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7392 | Known 161 | Unknown 7231/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7424 | Known 162 | Unknown 7262/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7456 | Known 162 | Unknown 7294/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7488 | Known 162 | Unknown 7326/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7520 | Known 162 | Unknown 7358/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7552 | Known 163 | Unknown 7389/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7584 | Known 164 | Unknown 7420/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7616 | Known 165 | Unknown 7451/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7648 | Known 165 | Unknown 7483/10000 | Failure rate: 97.8% | 46.2 items/s
Processed 7680 | Known 165 | Unknown 7515/10000 | Failure rate: 97.9% | 46.2 items/s
Processed 7712 | Known 167 | Unknown 7545/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7744 | Known 167 | Unknown 7577/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7776 | Known 167 | Unknown 7609/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 7808 | Known 168 | Unknown 7640/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7840 | Known 170 | Unknown 7670/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7872 | Known 170 | Unknown 7702/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7904 | Known 170 | Unknown 7734/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 7936 | Known 170 | Unknown 7766/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 7968 | Known 173 | Unknown 7795/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8000 | Known 175 | Unknown 7825/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8032 | Known 177 | Unknown 7855/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8064 | Known 178 | Unknown 7886/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8096 | Known 178 | Unknown 7918/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8128 | Known 178 | Unknown 7950/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8160 | Known 179 | Unknown 7981/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 8192 | Known 179 | Unknown 8013/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8224 | Known 179 | Unknown 8045/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8256 | Known 179 | Unknown 8077/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8288 | Known 180 | Unknown 8108/10000 | Failure rate: 97.8% | 46.4 items/s
Processed 8320 | Known 181 | Unknown 8139/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8352 | Known 182 | Unknown 8170/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8384 | Known 182 | Unknown 8202/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8416 | Known 183 | Unknown 8233/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8448 | Known 183 | Unknown 8265/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8480 | Known 183 | Unknown 8297/10000 | Failure rate: 97.8% | 46.3 items/s
Processed 8512 | Known 183 | Unknown 8329/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8544 | Known 183 | Unknown 8361/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8576 | Known 183 | Unknown 8393/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8608 | Known 183 | Unknown 8425/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8640 | Known 183 | Unknown 8457/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8672 | Known 185 | Unknown 8487/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8704 | Known 185 | Unknown 8519/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8736 | Known 185 | Unknown 8551/10000 | Failure rate: 97.9% | 46.3 items/s
